Index	Distance[?m]	Time[s]	Velocity[?m/s]
53.000000	0.820500	0.600000	1.367500
54.000000	1.017420	1.000000	1.017420
55.000000	1.575360	1.300000	1.211815
56.000000	1.214340	0.500000	2.428680
57.000000	0.918960	0.500000	1.837920
58.000000	1.148700	0.800000	1.435875
59.000000	1.762452	1.300000	1.355732
60.000000	0.587484	0.500000	1.174968
61.000000	2.097207	1.700000	1.233651
62.000000	1.376292	1.000000	1.376292
63.000000	0.983066	0.600000	1.638443
64.000000	2.719815	2.600000	1.046083
65.000000	1.343523	0.600000	2.239205
66.000000	1.900594	1.600000	1.187871
67.000000	0.950297	0.800000	1.187871
68.000000	3.539037	2.700000	1.310754
69.000000	1.900594	1.300000	1.461995
70.000000	1.572905	1.100000	1.429914
71.000000	0.851990	0.700000	1.217129
72.000000	1.507367	1.100000	1.370334
73.000000	2.538902	2.300000	1.103871
74.000000	1.219992	0.800000	1.524990
75.000000	0.923237	0.400000	2.308093
76.000000	0.890264	0.800000	1.112831
77.000000	1.549720	1.500000	1.033146
78.000000	1.121074	0.800000	1.401342
79.000000	1.055128	0.800000	1.318910
80.000000	0.890264	0.600000	1.483774
81.000000	1.318910	1.200000	1.099092
82.000000	0.659455	0.600000	1.099092
83.000000	0.725401	0.500000	1.450801
84.000000	0.890264	0.600000	1.483774
85.000000	1.121074	1.100000	1.019158
86.000000	1.088101	0.900000	1.209001
87.000000	2.447850	2.100000	1.165643
88.000000	2.219384	1.900000	1.168097
89.000000	1.599262	1.300000	1.230202
90.000000	0.949681	0.800000	1.187102
91.000000	1.146167	0.700000	1.637382
92.000000	1.146167	0.800000	1.432709
93.000000	1.768372	1.400000	1.263123
94.000000	1.146167	0.900000	1.273519
95.000000	1.244410	0.800000	1.555513
96.000000	1.080672	0.600000	1.801120
97.000000	1.637382	1.300000	1.259524
98.000000	0.916934	0.500000	1.833867
99.000000	1.212983	1.000000	1.212983
100.000000	1.114633	0.900000	1.238482
101.000000	0.917933	0.800000	1.147417
102.000000	1.114633	1.200000	0.928861
103.000000	1.901434	1.500000	1.267622
104.000000	1.803083	2.700000	0.667809
105.000000	0.983500	0.700000	1.405000
106.000000	2.752584	2.100000	1.310754
107.000000	4.259951	5.400000	0.788880
108.000000	2.261051	1.900000	1.190027
109.000000	1.507367	1.200000	1.256140
110.000000	1.802287	1.500000	1.201525
111.000000	1.474599	1.000000	1.474599
112.000000	1.998900	2.300000	0.869087
113.000000	1.114141	0.800000	1.392676
114.000000	1.114141	0.900000	1.237935
115.000000	1.605674	0.700000	2.293820
116.000000	2.228282	1.800000	1.237935
117.000000	0.786453	0.600000	1.310754
118.000000	1.245217	0.600000	2.075361
119.000000	1.245217	1.000000	1.245217
120.000000	1.441830	1.200000	1.201525
121.000000	1.114141	1.100000	1.012856
122.000000	2.472364	2.200000	1.123802
123.000000	1.911961	1.500000	1.274641
124.000000	0.461508	0.600000	0.769180
125.000000	0.923016	0.600000	1.538360
126.000000	1.021910	0.900000	1.135456
127.000000	1.483418	1.100000	1.348562
128.000000	0.988945	0.600000	1.648242
129.000000	2.736083	2.100000	1.302896
130.000000	1.252664	1.000000	1.252664
131.000000	1.285629	0.900000	1.428477
132.000000	0.824121	0.800000	1.030152
133.000000	1.977891	1.600000	1.236182
134.000000	1.483418	1.000000	1.483418
135.000000	1.582313	1.200000	1.318594
136.000000	3.802867	3.400000	1.118490
137.000000	2.130917	1.700000	1.253481
138.000000	1.639167	1.300000	1.260898
139.000000	3.376684	2.800000	1.205958
140.000000	2.229267	1.700000	1.311333
141.000000	1.376900	1.100000	1.251727
142.000000	1.409683	1.200000	1.174736
143.000000	1.344117	0.900000	1.493463
144.000000	0.819583	0.700000	1.170833
145.000000	1.016283	0.700000	1.451833
146.000000	1.016283	0.800000	1.270354
147.000000	0.950717	0.600000	1.584528
148.000000	1.016283	1.000000	1.016283
149.000000	1.049067	0.800000	1.311333
150.000000	1.501348	1.500000	1.000899
151.000000	1.827728	1.400000	1.305520
152.000000	1.109692	1.100000	1.008811
153.000000	2.435558	2.200000	1.107072
154.000000	3.126730	2.300000	1.359448
155.000000	2.830514	2.800000	1.010898
156.000000	0.921563	0.700000	1.316518
157.000000	0.921563	0.700000	1.316518
158.000000	1.382344	1.100000	1.256676
159.000000	0.921563	0.500000	1.843125
160.000000	0.822824	0.500000	1.645647
161.000000	1.415257	0.900000	1.572508
162.000000	3.225469	3.500000	0.921563
163.000000	1.810212	1.600000	1.131383
164.000000	1.711473	1.400000	1.222481
165.000000	0.954475	0.800000	1.193094
166.000000	0.691172	0.800000	0.863965
167.000000	1.283605	1.000000	1.283605
168.000000	0.921563	0.800000	1.151953
169.000000	0.756998	0.600000	1.261663
170.000000	1.212983	1.100000	1.102712
171.000000	2.032567	1.700000	1.195628
172.000000	2.032567	1.300000	1.563513
173.000000	0.917933	0.800000	1.147417
174.000000	1.409683	1.000000	1.409683
175.000000	1.376900	1.000000	1.376900
176.000000	1.671950	1.100000	1.519955
177.000000	0.950717	0.500000	1.901434
178.000000	1.219992	1.200000	1.016660
179.000000	1.846474	1.700000	1.086161
180.000000	1.450801	1.300000	1.116001
181.000000	0.989183	0.700000	1.413118
182.000000	0.890264	0.500000	1.780529
183.000000	1.022156	0.600000	1.703593
184.000000	0.659455	0.400000	1.648638
185.000000	0.560537	0.500000	1.121074
186.000000	1.351559	0.800000	1.689449
187.000000	2.076786	2.000000	1.038393
188.000000	2.241610	1.600000	1.401006
189.000000	2.044311	1.600000	1.277694
190.000000	3.033494	2.500000	1.213398
191.000000	1.483774	1.400000	1.059839
192.000000	1.648638	1.000000	1.648638
193.000000	2.293820	2.000000	1.146910
194.000000	0.720915	1.200000	0.600762
195.000000	1.277985	0.900000	1.419984
196.000000	1.540136	1.200000	1.283447
197.000000	2.259587	2.000000	1.129793
198.000000	2.063101	1.800000	1.146167
199.000000	1.113420	1.300000	0.856477
200.000000	2.095849	2.000000	1.047924
201.000000	1.408148	1.000000	1.408148
202.000000	1.015177	0.800000	1.268971
203.000000	1.146167	0.900000	1.273519
204.000000	0.785943	0.600000	1.309905
205.000000	1.047924	0.700000	1.497035
206.000000	1.015177	0.900000	1.127974
207.000000	1.409061	0.700000	2.012944
208.000000	2.261051	1.900000	1.190027
209.000000	2.139342	1.700000	1.258436
210.000000	2.896339	2.700000	1.072718
211.000000	0.724085	0.500000	1.448170
212.000000	1.184866	0.900000	1.316518
213.000000	4.069680	3.500000	1.162766
214.000000	4.200960	4.300000	0.976968
215.000000	1.476900	1.100000	1.342636
216.000000	1.542540	1.100000	1.402309
217.000000	1.444080	1.200000	1.203400
218.000000	0.689220	0.400000	1.723050
219.000000	2.554315	1.900000	1.344377
220.000000	2.652558	2.600000	1.020215
221.000000	2.030353	1.700000	1.194325
222.000000	0.652760	0.700000	0.932514
223.000000	0.652760	0.500000	1.305520
224.000000	0.824121	0.600000	1.373535
225.000000	2.953800	2.400000	1.230750
226.000000	0.689220	0.500000	1.378440
227.000000	1.475250	1.000000	1.475250
228.000000	0.819583	0.700000	1.170833
229.000000	0.655667	0.600000	1.092778
230.000000	0.983500	0.900000	1.092778
231.000000	2.031669	1.300000	1.562822
232.000000	1.507367	1.300000	1.159513
233.000000	0.851990	0.600000	1.419984
234.000000	1.409061	0.900000	1.565623
235.000000	1.572905	1.300000	1.209927
