Index	Distance[?m]	Time[s]	Velocity[?m/s]
1.000000	2.357830	1.900000	1.240963
2.000000	3.045530	2.700000	1.127974
3.000000	1.047924	0.900000	1.164360
4.000000	1.375401	1.100000	1.250364
5.000000	2.128596	1.600000	1.330373
6.000000	0.884186	0.700000	1.263123
7.000000	1.047924	0.900000	1.164360
8.000000	0.884186	0.700000	1.263123
9.000000	0.523962	0.700000	0.748517
10.000000	0.982429	1.100000	0.893117
11.000000	2.472364	2.000000	1.236182
12.000000	2.953800	2.300000	1.284261
13.000000	2.166120	1.700000	1.274188
14.000000	1.411260	0.900000	1.568067
15.000000	1.903560	1.700000	1.119741
16.000000	1.870740	1.300000	1.439031
17.000000	1.476900	1.300000	1.136077
18.000000	1.575360	1.300000	1.211815
19.000000	1.083060	0.600000	1.805100
20.000000	0.951780	0.900000	1.057533
21.000000	1.772280	1.500000	1.181520
22.000000	1.148700	0.800000	1.435875
23.000000	1.673820	1.200000	1.394850
24.000000	1.678560	1.200000	1.398800
25.000000	1.250692	1.000000	1.250692
26.000000	1.020301	0.800000	1.275377
27.000000	0.921563	0.800000	1.151953
28.000000	0.888650	0.700000	1.269499
29.000000	1.113420	0.600000	1.855699
30.000000	1.178915	1.100000	1.071741
31.000000	3.438501	2.900000	1.185690
32.000000	1.571886	1.300000	1.209143
33.000000	1.277158	1.300000	0.982429
34.000000	1.244410	0.800000	1.555513
35.000000	1.113420	0.900000	1.237133
36.000000	1.473643	1.100000	1.339676
37.000000	1.780102	1.300000	1.369309
38.000000	2.110257	1.900000	1.110661
39.000000	2.769712	2.100000	1.318910
40.000000	2.571875	2.400000	1.071615
41.000000	1.154047	1.000000	1.154047
42.000000	2.166120	2.000000	1.083060
43.000000	2.100480	1.600000	1.312800
44.000000	1.142330	1.100000	1.038482
45.000000	1.338158	1.100000	1.216507
46.000000	0.946502	0.600000	1.577503
47.000000	0.750674	0.600000	1.251123
48.000000	1.739460	1.400000	1.242472
49.000000	1.805100	1.500000	1.203400
50.000000	0.853320	0.500000	1.706640
51.000000	0.722040	0.600000	1.203400
52.000000	1.772280	1.500000	1.181520
